unit_id,rms_voltage,battery_voltage,latency_ms,modem_strength,wifi_strength,Packets received
2967,0.00,3905.32,5.4008,22.44,31.00,8.5000000000000000
2968,0.00,3858.84,4.4313863636363635,22.21,31.00,7.5000000000000000
2969,0.00,3980.89,5.965366666666666,24.25,31.00,8.0000000000000000
2970,182.13,3923.70,9.027870142031288,35.25,31.58,205.1904761904761905
2971,0.00,3884.37,7.1446,26.17,31.00,8.0000000000000000
2972,0.00,3831.63,5.2269375,26.57,31.00,8.0000000000000000
2973,11.38,3843.58,6.648812644145977,27.69,31.00,15.6666666666666667
2974,39.41,3927.63,6.355538461538463,33.99,31.00,14.0000000000000000
2975,115.94,3643.11,6.5357235769764275,33.24,34.41,60.4666666666666667
2976,0.00,3885.96,6.1555897435897435,23.28,31.00,8.0000000000000000
2977,0.00,3944.57,6.982875,24.38,31.00,5.0000000000000000
2978,215.03,4035.81,7.672092714724801,31.24,30.96,278.6666666666666667
2979,0.00,4006.77,4.785266666666667,25.57,5.50,8.5000000000000000
2980,0.00,3994.89,6.0089523809523815,26.15,5.33,12.0000000000000000
2981,0.00,4030.11,3.4814285714285713,19.61,5.00,7.5000000000000000
2982,0.00,3976.14,4.609567307692307,22.52,5.25,15.0000000000000000
2983,0.00,3997.58,4.296647058823529,20.15,5.33,10.0000000000000000
2984,196.97,4036.03,7.907644511463379,23.44,7.37,268.6428571428571429
2985,51.82,3928.08,4.884041794165647,21.84,5.09,93.2500000000000000
2986,0.00,3992.15,4.6833846153846155,27.72,5.25,8.5000000000000000
2987,0.00,4002.25,3.8339583333333334,24.04,5.50,7.0000000000000000
